ARC,1,2,3,4,5,6,mean,desvest,confidence interval
VIM1,0.7331162068,0.6179858254,0.7296160955,0.6923350394,0.6988880826,0.6782705763,0.691701971,0.04199793621,0.03360473042
VIM2,0.7380318668,0.7503728732,0.7293817525,0.7193778014,0.7372794273,0.606116252,0.7134266622,0.05356285671,0.04285842407
OXA2,0.8026784788,0.7840499741,0.7013721631,0.7479321437,0.7163579122,0.636332017,0.7314537815,0.06048436577,0.04839668302
OXA118,0.7858387256,0.7625306864,0.7677945207,0.680942459,0.6306534898,0.7702513525,0.7330018723,0.06236523069,0.04990166074
IMP31,0.7635589861,0.7093677828,0.7644370267,0.757077074,0.7063456648,0.6979179449,0.7331174132,0.03162735184,0.02530668714
aadB,0.7037104714,0.8514403386,0.7260435808,0.7692905992,0.8616693972,0.7952153069,0.7845616157,0.0643837659,0.05151679562
OXA129,0.8791495446,0.8169424533,0.7418212955,0.7537295539,0.7649557261,0.7829356828,0.789922376,0.05096538824,0.04078005462
aacA30,0.8134883813,0.8255171832,0.9192943376,0.846363507,0.8093832949,0.8394340475,0.8422467919,0.04036859819,0.03230101243
dfrA31,0.8303189329,0.8576266903,0.8532030164,0.8714926526,0.8498190209,0.8485954725,0.8518426309,0.01341147236,0.01073121572
aacC4,0.8765610134,0.8324588987,0.8422672761,0.8163458492,0.8829666831,0.9082391183,0.8598064731,0.03494902047,0.02796452676
qacEDsul1,0.8268069388,0.847896478,0.8694596671,0.874063696,0.8721236621,0.8749906944,0.8608901894,0.01950639322,0.01560807851
qacE,0.8191702874,0.836944195,0.9201240348,0.860427298,0.8741851039,0.8793460233,0.8650328237,0.03531919486,0.02826072252
aacAX,0.8461029837,0.808043681,0.9113976346,0.8985006781,0.8711362423,0.870649937,0.8676385261,0.03715900906,0.02973285344
dfrB4,0.8901627565,0.8674241435,0.8578240205,0.8588900403,0.8750283763,0.8587301431,0.8680099134,0.01275452109,0.01020555488
aacA49,0.8856739662,0.8551301164,0.8317240265,0.8790971925,0.9547079192,0.8302841411,0.8727695603,0.04630627161,0.03705205337
qacM,0.8530592844,0.8633398349,0.8778225097,0.9005597944,0.8600623462,0.9184379876,0.8788802929,0.02568375491,0.02055090649
aacA64,0.8786365724,0.8736074556,0.8734008083,0.87395469,0.8943494001,0.8942723292,0.8813702093,0.0102093926,0.008169065363
fosK,0.8597253258,0.8690627193,0.8917270875,0.9009359865,0.893440232,0.893440232,0.8847219305,0.01633417606,0.01306982278
fosF,0.9194213159,0.8887981861,0.8791547666,0.8443628749,0.8895254991,0.9042124583,0.8875791835,0.02543415601,0.02035118945
dfrB2,0.9056904645,0.8872635207,0.8736179207,0.8598969331,0.8784254163,0.9278658139,0.8887933449,0.0244429986,0.01955811291
aacA28,0.9276634706,0.8914829374,0.9348691195,0.9010569197,0.8313847572,0.8517366727,0.8896989795,0.04112302202,0.03290466612
qacG,0.8922953568,0.9160173212,0.857816366,0.8607777704,0.9074720318,0.9077981569,0.8903628339,0.02527113399,0.02022074705
aacA16,0.9298138601,0.8890894136,0.9217680615,0.9007349344,0.8308707215,0.8739050135,0.8910303341,0.0359426538,0.0287595844
aacC3,0.9466435654,0.8972794162,0.9103886351,0.8312225593,0.9517990197,0.8472996061,0.8974388003,0.04988465766,0.03991530593
dfrA7,0.904756275,0.9297836141,0.9309152959,0.8468532528,0.9533606449,0.8378390334,0.900584686,0.04774790285,0.03820557741
fosN,0.9285105654,0.8776369579,0.9063744399,0.9298009187,0.9146100727,0.8799970263,0.9061549968,0.0229257737,0.01834410245
VIM7,0.8462435109,0.9374878298,0.9017487591,1.008318667,0.9453242752,0.822834663,0.9103262841,0.06841063585,0.05473890345
catB2,0.9321244333,0.9584181748,0.8545606461,0.9387276879,0.8967805709,0.8845210232,0.9108554227,0.0388642594,0.03109731281
catB3,0.9059453347,0.9045227693,0.8881777583,0.8814050825,0.9744135434,0.928223575,0.9137813439,0.03386954913,0.02710078567
aadA13,0.8504619107,0.9422104677,0.9233114369,0.8946060632,0.865276092,1.02506024,0.9168210351,0.06317656778,0.05055085369
aadA24,0.8886367196,0.8773928207,0.8961604681,0.8956527362,0.9759983396,0.990846308,0.920781232,0.04921684888,0.03938095745
aacC13,0.8943292608,0.918745601,0.9889078933,0.8877901863,0.8936851977,0.9511374749,0.9224326023,0.04018167757,0.03215144753
IMP2,0.9308751102,0.9402881244,0.9560781895,0.9337188493,0.9337812274,0.8735036491,0.9280408583,0.02822629644,0.02258532605
catB6,0.9185055444,0.8804236614,0.8878624645,1.056489659,0.9325896008,0.9665079005,0.9403964718,0.06489399772,0.0519250586
catB5,0.8885367123,0.9244370267,0.9175549118,0.9145910037,1.004125443,0.9931661685,0.9404018776,0.04685684591,0.03749259647
fosG,0.9194637921,0.9339541785,0.9385219301,0.940172216,0.9697458772,0.9563149281,0.9430288204,0.01764343342,0.0141174276
aacC6,0.9373062217,1.016718806,0.9184218979,0.9335205362,0.9209382726,0.945483981,0.9453982859,0.03638462346,0.02911322729
sat2,0.9303074942,0.9213171294,0.9382062114,0.9548715967,0.9653720984,0.9681700694,0.9463740999,0.01929195519,0.0154364955
aacA51,0.9486550561,0.9633738168,0.939845697,0.8999069566,0.946079006,0.9912477617,0.9481847157,0.02996688577,0.02397806199
dfrB8,0.9248903906,0.9522516325,0.9604878985,0.9454853666,0.9510720597,0.9905903002,0.954129608,0.0215050695,0.01720732322
dfrA12,0.9843614534,0.960080114,0.9380574881,0.9658939415,0.9469304552,0.9322245053,0.9545913263,0.01937249493,0.01550093953
dfrB9,0.938120012,0.9596875726,0.9632304613,0.9535383942,0.9480641928,0.9780820287,0.9567871103,0.01370041611,0.01096241462
aadA28,0.9372657057,0.963968502,0.9497252544,0.9723704497,0.9714698188,0.969662196,0.9607436544,0.01423230278,0.01138800478
dfrA35,0.9609404072,0.9723338865,0.9491657342,0.9453998848,0.9682754786,0.9758675697,0.9619971602,0.01248907701,0.009993159282
aacA35,0.9961525488,0.9523189664,0.9303758981,0.9372855617,0.9656297699,1.015846232,0.9662681628,0.03368766808,0.02695525319
smr2,0.9669202407,0.9663940589,0.952572502,0.9852613643,0.9679995359,0.9593912421,0.9664231573,0.01094439977,0.008757182783
smr3,0.914275606,1.044307855,1.017671375,0.9162848462,0.9662187713,0.9410518031,0.9666350428,0.05397981341,0.04319205278
aacC5,0.9501266253,0.9457637818,0.9744582943,0.9778432813,0.9507997784,1.002122051,0.966852302,0.02193064242,0.01754784622
fosH,0.94802606,0.9951344323,0.9527159837,0.9838720158,0.9694920117,0.9588573509,0.9680163091,0.01847468684,0.01478255664
fosC2,1.001021581,0.9826893983,0.9854494297,0.9302209994,0.9626485124,0.9511519113,0.9688636387,0.02586874553,0.0206989271
dfrA5,0.9299551242,0.9425805847,0.9691560981,0.977959839,0.9783816996,1.016470896,0.9690840403,0.03047704326,0.0243862655
dfrB5,0.948428452,0.9861641336,0.9867715996,0.9779729539,0.9773973092,0.9380832799,0.969136288,0.02069002978,0.01655516761
aadA16,0.9671773938,0.9618550758,0.9570289517,0.9823514523,0.9971633402,0.9773319718,0.9738180309,0.01482736703,0.0118641466
aacA29,0.9883038198,0.9786596408,0.974666026,0.9914529691,0.9890117507,0.9457752433,0.9779782416,0.01707859679,0.01366547247
dfrB3,0.9997629918,0.9629198781,0.9724005721,0.9657895301,0.9915075582,0.9762651123,0.9781076071,0.01460740598,0.01168814433
aadA1,0.956955886,0.9799264023,0.9791587028,0.9672284178,0.9876437718,1.007970504,0.9798139475,0.01752384864,0.0140217416
catB10,0.9487649691,0.9905705505,0.9703744431,0.9687124914,1.007057056,0.9990272505,0.9807511267,0.02190049434,0.01752372318
aadA29,0.949499811,1.000738637,0.9798907058,0.9772128016,1.014214849,0.9759501994,0.9829178339,0.02237904042,0.01790663276
arr5,0.9517879466,0.9757273321,0.9753177224,1.002231195,0.984916869,1.011288661,0.9835449543,0.02125126398,0.01700424025
fosE,0.9663337625,0.9652086065,1.014027863,0.9888842265,0.9888732667,0.9845744901,0.9846503692,0.01795706832,0.01436838317
aacC1,0.9798860519,0.9431216887,0.9474204287,0.992382628,1.050702378,1.006872793,0.9867309946,0.04005974596,0.03205388372
aacA52,0.9441119261,1.006098753,0.9629158843,1.042700873,0.981604755,1.015392904,0.9921375161,0.03623170553,0.02899086971
dfrA14,1.009382813,0.983472058,1.021869972,1.010933979,0.9321882296,0.9958722227,0.9922865457,0.03230339947,0.02584762797
dfrA17,1.006838722,1.032482439,1.004538418,0.9577056559,0.9750883339,0.9781295426,0.9924638518,0.02709033989,0.0216763882
dfrA15,1.006034478,0.9668682497,0.975729454,0.9794300208,0.9806837136,1.063265416,0.9953352222,0.03575299199,0.02860782614
dfrA30,0.9823822233,1.006285002,0.9946136197,0.9981650149,1.015543274,0.9821087941,0.9965163213,0.01319954612,0.01056164252
arr6,0.9835252866,0.9959764812,0.9885343663,0.9945526315,1.0055841,1.014418649,0.9970985858,0.01128990572,0.009033640043
dfrB1,1.027258151,0.9872715652,0.9991643404,0.9789104562,0.9877674479,1.003467273,0.9973065391,0.01713835454,0.01371328775
aacA54,1.009864405,0.9873548002,0.9942294801,0.981228185,1.013089323,1.001060075,0.9978043781,0.01254126879,0.01003492063
qacF,0.9618677228,1.021523178,1.001374488,1.000515782,0.9918996628,1.035535334,1.002119361,0.02538069459,0.02030841218
aadA10,0.9651821945,0.9900531067,0.9888847431,0.999342343,1.034868354,1.036749904,1.002513441,0.0281554788,0.02252866117
aacA38,1.038486551,1.009637344,0.9736394445,0.947222202,1.011587806,1.042316923,1.003815045,0.03712718587,0.02970739005
aadA34,0.9927533957,1.001706864,1.003728026,1.007063817,1.012378172,1.017786121,1.005902733,0.008714746916,0.00697312171
PBL1,1.018606658,1.05704413,0.990199628,1.003097105,1.002957096,0.9900197634,1.01032073,0.02519970074,0.02016358961
aacA37,1.013282267,0.9627146856,0.9299484735,0.9801078617,1.028601816,1.163484241,1.013023224,0.08172767152,0.06539455547
aacA50,1.005331474,1.01697028,1.002302313,1.043933745,0.9920139769,1.021910242,1.013743672,0.01823400017,0.01458997073
dfrA16,1.056525707,0.9936617202,1.044739706,0.972799929,0.961836217,1.062566335,1.015354936,0.04457171942,0.03566414806
aadA2,0.9231197228,0.9837282384,1.007158683,1.08632318,1.077826914,1.038400975,1.019426286,0.06155593465,0.04925410095
qacL,0.9648304626,1.058274711,1.049359521,0.9906816525,1.034366746,1.024821279,1.020389062,0.03594139202,0.02875857479
dfrA6,1.002032174,0.9876556454,1.036535593,1.055346505,1.002025319,1.042892643,1.021081313,0.02732013227,0.02186025702
arr7,0.9981160255,1.018568604,1.02005169,1.021119864,1.028899375,1.042999229,1.021625798,0.01465959151,0.01172990068
GES1,1.070081088,1.022766155,1.015682386,1.028306906,0.9784027046,1.017142235,1.022063579,0.02938150808,0.02350967089
dfrA29,1.016184237,1.019275361,1.015548331,1.024975048,1.034421539,1.034894528,1.024216507,0.008749945769,0.007001286141
dfrB7,1.019355635,1.012702465,1.039273497,0.9932990153,1.102496507,0.9796324144,1.024459922,0.04348321448,0.03479317871
dfrB6,1.021894648,1.07396762,1.023808602,0.9903581255,1.020834318,1.022655953,1.025586544,0.02694339699,0.02155881155
dfrA1,0.9696396931,1.049098525,1.014701483,1.025854008,1.075505977,1.02079707,1.025932793,0.03554036853,0.02843769507
dfrA27,0.9876011317,1.016512335,1.052022398,1.06323038,0.9959506121,1.044060871,1.026562955,0.03116091951,0.02493347041
fosL,1.021248374,1.009768661,1.022619591,1.030509962,1.05874078,1.032565308,1.029242113,0.01655170946,0.01324388254
aadA7,1.020425371,1.007681021,1.010905813,1.033298928,1.039090626,1.06977829,1.030196675,0.02293469397,0.01835124003
aadA4,1.074927675,0.9822480049,1.091067595,1.05838286,0.9766375313,1.004072126,1.031222632,0.04968787708,0.03975785157
dfrA22,1.021887251,1.020302823,1.058877186,1.037485075,1.023716138,1.030501498,1.032128328,0.01457621269,0.01166318496
aacA48,1.043970501,1.066822503,1.030545595,1.055227878,1.037211811,0.9641232286,1.032983586,0.03612800487,0.02890789343
fosM,0.9749785244,1.010061147,1.07148406,1.061396137,1.045595658,1.053430643,1.036157695,0.036595851,0.02928224142
aacC11,1.000275044,1.063165741,1.089324426,1.022365845,1.062656763,0.9854805059,1.037211388,0.04073728529,0.03259601813
OXA198,1.068325098,1.074887594,1.018649852,1.036708355,1.045102678,0.9952502314,1.039820635,0.03004831188,0.02404321524
aphA15,1.05296448,0.9234194014,1.087974516,1.090698667,1.078169787,1.025929709,1.04319276,0.06359994682,0.05088962125
dfrA34,1.046182649,1.03842958,1.039136743,1.047040586,1.03949573,1.08558435,1.049311607,0.01816016292,0.01453088971
aadA6,1.037708265,1.027195171,1.035249753,1.070356314,1.053162229,1.082502664,1.051029066,0.02174012573,0.01739540392
dfrA25,1.053476148,1.053160584,1.058436876,1.077436553,1.086288902,1.020041992,1.058140176,0.02307730533,0.01846535078
aacA8,0.9939540246,1.178223777,0.9962449129,1.062754384,1.128601389,1.036893853,1.066112057,0.07406366342,0.05926218446
aacA31,1.020438762,1.188561821,0.9840736142,0.9960612552,1.049699767,1.159666427,1.066416941,0.0868776626,0.06951533085
aacA61,1.093800952,1.080236572,1.074111137,1.066948413,1.087049469,1.000972156,1.06718645,0.03378022383,0.02702931186
OXA1,1.037619522,1.065595264,1.055999653,1.072194503,1.082117896,1.091988752,1.067585932,0.01930857273,0.01544979206
aacA4,1.152086732,1.103297915,1.032639857,0.9952670072,1.052945787,1.094198942,1.071739373,0.0560108304,0.04481717498
aacA34,1.009067765,1.014907822,1.200752795,1.099636013,1.006345679,1.106858073,1.072928025,0.07756471126,0.06206355471
fosI,1.051899685,1.051474204,1.129735072,1.09679902,1.074972717,1.037987625,1.073811387,0.03440829205,0.02753186187
aacA7,1.052400251,1.072342912,1.062230673,1.140502821,1.01343277,1.102204442,1.073852311,0.04357564996,0.03486714114
dfrA21,1.092962879,1.060179077,1.148083536,1.001387011,1.105874045,1.040972964,1.074909918,0.0517945891,0.0414435413
BEL1,1.06868016,1.102406578,1.095996478,1.070707614,1.06273149,1.076258956,1.079463546,0.01601811122,0.01281692287
aacA2,1.147546473,1.165290476,1.121936509,1.052072614,1.029837788,1.026184799,1.09047811,0.06185334212,0.04949207211
aacA27,1.077023035,1.073479597,1.131537927,1.14844293,1.076205303,1.057351385,1.094006696,0.03672112433,0.02938247912
OXA10,1.081481728,1.105150734,1.110339017,1.093385509,1.108713584,1.084634654,1.097284205,0.01255285099,0.01004418816
aacC2,1.05499296,1.081053214,1.139171356,1.078611056,1.09650621,1.140055714,1.098398418,0.03457679218,0.02766668757
aacA3,1.132148014,1.108616076,1.093659222,1.131667345,1.083147436,1.048998198,1.099706049,0.03173462485,0.02539252185
aacA59,1.117951421,1.078425003,1.083423358,1.102491441,1.112794695,1.115495103,1.101763503,0.01705209161,0.0136442643
aacA45,1.057963584,1.247222485,1.055030664,1.172167345,1.03123713,1.049306011,1.102154536,0.08711170736,0.06970260222
aadA5,1.088529407,1.076156372,1.090082371,1.142498295,1.118711585,1.125121866,1.106849983,0.02570702434,0.02056952557
aacA47,1.091850093,1.112540317,1.102049014,1.18325524,1.051421893,1.143521224,1.114106297,0.04520910882,0.03617415643
ereA3,1.076505647,1.136203284,1.110610674,1.114539896,1.126849538,1.148563676,1.118878786,0.02501013536,0.0200119085
aacA42,0.8493529206,1.28415282,1.19880092,1.351726797,0.8803005254,1.339102506,1.150572748,0.228015996,0.1824474431
aadA11,1.142414543,1.14081322,1.103588121,1.197956197,1.173802442,1.16288825,1.153577129,0.03240889878,0.02593204345
aphA16,1.199188389,1.281682165,1.227385926,1.041756316,1.190843953,1.156589986,1.182907789,0.08084440341,0.06468780677
ereA2,1.253014445,1.463179319,1.338897496,1.335587059,1.441004549,1.494072378,1.387625875,0.09283446997,0.07428168187